title,discounted_price,normal_price,url
WLISTH Watch Men Trend Of Luminous Waterproof Strip Quartz Watch,$13.10,$21.98 ,https://www.cigabuy.com/wlisth-watch-men-trend-of-luminous-waterproof-strip-quartz-watch-p-18840.html
SanDisk A1 16GB UHS-I / Class 10 up to 98MB / s Micro SDHC Memory Card,$5.40,$5.40,https://www.cigabuy.com/sandisk-a1-16gb-uhs-class-10-up-to-98mb-s-micro-sdhc-memory-card-p-17561.html
Adjustable Warming Shoulder Care Support Brace Breathable Single Side Shoulder,$1.90,$18.79 ,https://www.cigabuy.com/adjustable-warming-shoulder-care-support-brace-breathable-single-side-shoulder-p-12360.html
[Double-Bar] Bike Handle Bar Extender Aluminum Alloy for 25.4/31.88mm,$20.27,$20.27,https://www.cigabuy.com/double-bar-bike-handle-bar-extender-aluminum-alloy-for-2543188mm-p-12045.html
Printing Pen 12V 3D Pen Pencil 3D Drawing Pen Filament For Kid Education,$8.99,$26.82 ,https://www.cigabuy.com/printing-pen-12v-3d-pen-pencil-3d-drawing-pen-filament-for-kid-education-p-19316.html
CURREN 8241 Big Dial Calendar Function Men Leather Strap Quartz Watch,$8.39,$8.39,https://www.cigabuy.com/curren-8241-big-dial-calendar-function-men-leather-strap-quartz-watch-p-19765.html
Xiaomi mijia Yeelight Folding USB Rechargeable LED Table Desk Lamp Dimmable,$14.30,$35.83 ,https://www.cigabuy.com/xiaomi-mijia-yeelight-folding-usb-rechargeable-led-table-desk-lamp-dimmable-p-18916.html
T19 Transmitter and Receiver Call 4 in 1 TV Computer Dual Transmitter,$7.42,$13.65 ,https://www.cigabuy.com/t19-transmitter-and-receiver-call-4-in-1-tv-computer-dual-transmitter-p-19286.html
Adjustable M3-M8 T-Handle Ratchet Tap Wrench Machinist Tool,$3.27,$15.80 ,https://www.cigabuy.com/adjustable-m3-m8-t-handle-ratchet-tap-wrench-machinist-tool-p-19027.html
Men Genuine Leather Strap Male Belts for New Classic Vintage Pin Buckle Strap,$16.20,$16.20,https://www.cigabuy.com/men-genuine-leather-strap-male-belts-for-new-classic-vintage-pin-buckle-strap-p-19224.html
USB Rechargeable Flashlight Portable Lantern Waterproof Flash Light,$4.06,$8.12 ,https://www.cigabuy.com/usb-rechargeable-flashlight-portable-lantern-waterproof-flash-light-p-18834.html
NAVIFORCE 9093 Luxury Men Military Sport Watches Digital Quartz Clock,$33.52,$33.52,https://www.cigabuy.com/naviforce-9093-luxury-men-military-sport-watches-digital-quartz-clock-p-19198.html
Men Watches Auto Date Chronograph Quartz Watch Sport Strap Watch,$3.20,$7.72 ,https://www.cigabuy.com/men-watches-auto-date-chronograph-quartz-watch-sport-strap-watch-p-19241.html
T10 Bluetooth Headsets Wireless Earbuds 5.0 TWS Earphone,$10.32,$10.32,https://www.cigabuy.com/t10-bluetooth-headsets-wireless-earbuds-50-tws-earphone-p-19735.html
Magnetic Wireless Earbuds,$1.82,$1.82,https://www.cigabuy.com/magnetic-wireless-earbuds-p-19786.html
CURREN 8249 Big Dial Dual Move Calendar Leather Strap Quartz Watch,$10.97,$10.97,https://www.cigabuy.com/curren-8249-big-dial-dual-move-calendar-leather-strap-quartz-watch-p-19824.html
X9-V0 Color OLED Screen Fitness Tracker IP68 Heart Rate Blood Pressure Monitor,$27.36,$27.36,https://www.cigabuy.com/x9-v0-color-oled-screen-fitness-tracker-ip68-heart-rate-blood-pressure-monitor-p-19827.html
i7 TWS Bluetooth V4.1 Earphones with Charging Case,$6.08,$6.08,https://www.cigabuy.com/i7-tws-bluetooth-v41-earphones-with-charging-case-p-19828.html
Electric Mini Hand Drill Rotary Metal Wood Engraver Grinder Polishing Machine,$43.44,$43.44,https://www.cigabuy.com/electric-mini-hand-drill-rotary-metal-wood-engraver-grinder-polishing-machine-p-19230.html
Baellerry Canvas Men Wallet Long Clutch Card Purse Phone Bag with Coin Pocket,$4.37,$4.37,https://www.cigabuy.com/baellerry-canvas-men-wallet-long-clutch-card-purse-phone-bag-with-coin-pocket-p-18477.html
Mini Rechargeable U Disk Plastic Professional Voice Recorder Portable Audio Pen,$3.92,$6.30 ,https://www.cigabuy.com/mini-rechargeable-u-disk-plastic-professional-voice-recorder-portable-audio-pen-p-19019.html
